ID	volume	 mp(left)	mp(ÁºÖÐ)	mp(right)	h	EI
410	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
411	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
412	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
413	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
414	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
415	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
416	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
417	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
418	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
419	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
420	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
421	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
422	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
423	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
424	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
425	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
426	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
427	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
428	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
429	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
